feature,importance
days_since_last_activity,0.44032794302653805
mood_score,0.14967285108316222
stress_score,0.11007379445441562
load_score,0.07769202418078264
anxiety_score,0.056880435098187715
peer_stress,0.04091346040801097
academic_pressure_score,0.021597118753890875
social_interaction_hours,0.02034533826399141
sleep_hours,0.01912842864458952
sleep_quality,0.01570832345356296
attendance_rate,0.009094566207728461
financial_stress,0.0071983042899591235
session_duration,0.005756563802971671
placement_pressure,0.00335238989414715
gpa,0.0024806734964792194
extracurricular_load,0.0023770259981091917
physical_activity_hours,0.0023082683269699637
screen_time_hours,0.0022947021713224007
social_media_hours,0.002262946844262664
submission_lateness,0.0022265515251916903
grade_trend,0.0021953649870684435
assignment_completion_rate,0.002150453276256197
quiz_scores,0.002054509564718194
activity_frequency,0.0019079622476836742
